                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1684,                 2.3237,                  2.425,                0.57325,                0.39973,                0.41764,                0.31344,                 1.1272,                 3.6977,                 2.4463,              0.0096014,              0.0096014,              0.0096014
                     35,                 1.1685,                 2.3196,                 2.4138,                0.58925,                0.38615,                0.41986,                0.31838,                 1.1061,                 3.5486,                 2.3946,              0.0095764,              0.0095764,              0.0095764
                     36,                 1.1595,                 2.3022,                 2.4198,                0.56742,                0.40703,                0.41851,                 0.3148,                 1.1324,                 3.6966,                 2.4164,              0.0095508,              0.0095508,              0.0095508
                     37,                 1.1325,                 2.1775,                 2.3979,                0.59933,                0.39491,                0.41838,                0.30698,                 1.0839,                  3.618,                 2.3712,              0.0095244,              0.0095244,              0.0095244
                     38,                 1.1488,                 2.2265,                 2.3984,                0.60645,                0.42752,                 0.4482,                0.33157,                 1.0861,                  3.374,                 2.3705,              0.0094973,              0.0094973,              0.0094973
                     39,                 1.1445,                 2.1859,                 2.3884,                0.55066,                0.43213,                0.43406,                0.32302,                 1.1189,                 3.6611,                  2.406,              0.0094695,              0.0094695,              0.0094695
                     40,                 1.1419,                 2.1513,                 2.3841,                0.56794,                0.39971,                0.42168,                0.31465,                 1.1106,                 3.7463,                 2.4239,               0.009441,               0.009441,               0.009441
                     41,                 1.1232,                 2.1289,                 2.3596,                0.60296,                0.41596,                0.43929,                0.32698,                 1.1062,                 3.5912,                 2.3706,              0.0094118,              0.0094118,              0.0094118
                     42,                  1.121,                 2.0781,                 2.3489,                0.62399,                0.40752,                0.44388,                0.33428,                 1.0779,                  3.519,                 2.3597,              0.0093818,              0.0093818,              0.0093818
                     43,                 1.1136,                 2.0795,                 2.3448,                0.60608,                0.40701,                0.42281,                0.31485,                 1.0993,                 3.7246,                 2.4054,              0.0093512,              0.0093512,              0.0093512
                     44,                  1.105,                 2.0719,                 2.3468,                0.59993,                0.43012,                0.43972,                0.33454,                 1.0619,                 3.5046,                   2.33,                0.00932,                0.00932,                0.00932
                     45,                 1.1057,                 2.0376,                 2.3484,                0.59324,                0.44809,                0.46211,                0.34781,                 1.0799,                 3.5295,                 2.3581,               0.009288,               0.009288,               0.009288
                     46,                 1.1015,                 2.0127,                 2.3409,                0.54531,                0.44791,                0.44159,                 0.3353,                 1.0752,                 3.5472,                 2.3279,              0.0092553,              0.0092553,              0.0092553
                     47,                 1.0975,                 1.9931,                 2.3091,                0.59289,                0.45483,                0.46806,                0.35383,                 1.0992,                 3.4386,                 2.3893,               0.009222,               0.009222,               0.009222
                     48,                 1.1029,                  1.996,                 2.3203,                0.58746,                0.44333,                0.44477,                0.33398,                 1.0911,                 3.6134,                 2.3941,               0.009188,               0.009188,               0.009188
                     49,                 1.0803,                 1.9041,                 2.3041,                0.60396,                 0.4501,                0.45598,                 0.3432,                 1.1038,                  3.549,                    2.4,              0.0091534,              0.0091534,              0.0091534
                     50,                 1.0826,                 1.9218,                 2.3102,                0.60587,                0.45271,                0.46692,                0.35127,                 1.0759,                 3.4737,                 2.3474,              0.0091181,              0.0091181,              0.0091181
                     51,                 1.0792,                 1.9007,                 2.3011,                0.58339,                0.45963,                0.45951,                0.35388,                 1.0497,                 3.4957,                  2.313,              0.0090822,              0.0090822,              0.0090822
                     52,                 1.0817,                 1.8871,                 2.2955,                0.65474,                0.41996,                0.45994,                0.35122,                 1.0692,                 3.5826,                 2.3357,              0.0090456,              0.0090456,              0.0090456
                     53,                 1.0639,                 1.8937,                 2.2895,                0.66504,                 0.4093,                0.45639,                0.35224,                 1.0521,                 3.4546,                 2.3137,              0.0090083,              0.0090083,              0.0090083
                     54,                 1.0691,                 1.8318,                 2.2915,                0.67463,                0.42268,                0.47642,                0.36154,                 1.0531,                 3.4896,                 2.3025,              0.0089705,              0.0089705,              0.0089705
                     55,                 1.0462,                 1.7912,                 2.2741,                0.64429,                0.46429,                0.48687,                 0.3682,                  1.037,                 3.3795,                 2.3129,               0.008932,               0.008932,               0.008932
                     56,                 1.0499,                 1.8218,                 2.2678,                0.62423,                0.45816,                0.47878,                0.36565,                 1.0734,                 3.5919,                 2.3552,              0.0088929,              0.0088929,              0.0088929
                     57,                 1.0604,                 1.7992,                 2.2634,                0.61556,                0.46495,                 0.4894,                0.36931,                 1.0427,                  3.466,                  2.299,              0.0088531,              0.0088531,              0.0088531
                     58,                 1.0405,                 1.7627,                 2.2619,                0.65385,                0.46538,                0.48682,                0.36712,                 1.0593,                 3.4141,                 2.3308,              0.0088128,              0.0088128,              0.0088128
                     59,                 1.0425,                 1.7835,                 2.2558,                0.61426,                0.46468,                0.48438,                0.36921,                 1.0574,                 3.5054,                 2.3585,              0.0087719,              0.0087719,              0.0087719
                     60,                 1.0307,                 1.7383,                 2.2571,                0.61735,                0.47497,                0.48766,                0.37493,                  1.057,                 3.5074,                  2.341,              0.0087303,              0.0087303,              0.0087303
                     61,                 1.0398,                 1.7291,                 2.2534,                  0.634,                 0.4585,                0.49299,                0.37311,                 1.0664,                 3.6346,                 2.3386,              0.0086882,              0.0086882,              0.0086882
                     62,                 1.0259,                  1.697,                 2.2384,                0.66226,                0.45065,                0.49396,                0.37945,                 1.0502,                 3.4877,                 2.3295,              0.0086455,              0.0086455,              0.0086455
                     63,                 1.0242,                 1.6891,                 2.2297,                0.66186,                0.46654,                0.49229,                0.37846,                 1.0534,                 3.4179,                 2.3258,              0.0086022,              0.0086022,              0.0086022
                     64,                 1.0279,                 1.7059,                 2.2455,                0.62781,                0.48341,                0.50599,                0.39082,                 1.0531,                  3.419,                  2.338,              0.0085584,              0.0085584,              0.0085584
                     65,                 1.0083,                 1.6663,                 2.2168,                0.62294,                0.47433,                0.48744,                0.37573,                 1.0528,                 3.3809,                 2.3287,               0.008514,               0.008514,               0.008514
                     66,                 1.0103,                 1.6625,                 2.2358,                0.65845,                  0.461,                0.49149,                0.38118,                 1.0448,                  3.505,                  2.315,               0.008469,               0.008469,               0.008469
                     67,                 1.0133,                  1.647,                 2.2359,                0.61715,                0.48045,                0.50606,                0.38933,                 1.0389,                 3.4593,                 2.3149,              0.0084235,              0.0084235,              0.0084235
                     68,                 1.0078,                 1.6238,                 2.2184,                0.65988,                0.47172,                0.49956,                0.38069,                 1.0463,                 3.3995,                 2.3272,              0.0083775,              0.0083775,              0.0083775
                     69,                  1.014,                 1.6243,                 2.2172,                0.65817,                0.48132,                0.52085,                0.40099,                 1.0431,                 3.4283,                 2.3303,              0.0083309,              0.0083309,              0.0083309
                     70,                0.98819,                 1.6172,                 2.1901,                0.67155,                 0.4618,                0.49927,                0.38425,                 1.0335,                 3.3892,                 2.3079,              0.0082838,              0.0082838,              0.0082838
                     71,                 1.0044,                 1.6195,                 2.1961,                0.65684,                0.47656,                0.50029,                0.38455,                 1.0276,                 3.3964,                 2.2822,              0.0082362,              0.0082362,              0.0082362
                     72,                0.99384,                 1.6145,                 2.1979,                0.63521,                0.48339,                0.50075,                0.38822,                 1.0303,                 3.3918,                 2.2891,               0.008188,               0.008188,               0.008188
                     73,                 0.9813,                 1.5862,                 2.1858,                   0.65,                0.47586,                0.50259,                 0.3892,                 1.0356,                 3.4232,                 2.3258,              0.0081394,              0.0081394,              0.0081394
                     74,                0.97946,                 1.5591,                 2.1942,                0.67139,                0.47864,                0.51878,                0.40472,                 1.0283,                 3.3201,                 2.3148,              0.0080903,              0.0080903,              0.0080903
                     75,                0.99185,                  1.571,                 2.2026,                 0.6789,                0.46429,                0.50306,                0.39426,                 1.0153,                 3.3831,                 2.2976,              0.0080406,              0.0080406,              0.0080406
                     76,                0.98326,                 1.5535,                 2.1875,                0.64005,                0.49003,                0.51476,                0.39886,                 1.0338,                 3.3161,                 2.3064,              0.0079905,              0.0079905,              0.0079905
                     77,                0.97624,                 1.5385,                 2.1679,                0.66953,                0.46355,                0.50634,                0.39741,                 1.0209,                 3.3818,                 2.2673,                0.00794,                0.00794,                0.00794
                     78,                0.97605,                 1.5177,                 2.1738,                0.66613,                0.47797,                0.51273,                 0.3994,                 1.0151,                 3.3874,                 2.2743,              0.0078889,              0.0078889,              0.0078889
                     79,                0.97385,                 1.5266,                 2.1683,                0.67461,                0.48589,                0.50973,                 0.3961,                 1.0215,                 3.3806,                 2.2838,              0.0078374,              0.0078374,              0.0078374
                     80,                0.95854,                 1.5064,                 2.1634,                0.67688,                0.47442,                0.51732,                0.40481,                 1.0085,                  3.436,                 2.2655,              0.0077855,              0.0077855,              0.0077855
                     81,                 0.9623,                 1.4899,                 2.1611,                0.64551,                 0.4879,                0.51507,                 0.4026,                 1.0045,                 3.3118,                 2.2744,              0.0077331,              0.0077331,              0.0077331
                     82,                0.96577,                 1.4881,                  2.157,                0.68882,                0.48016,                0.51973,                 0.4069,                 1.0204,                 3.4298,                 2.2783,              0.0076803,              0.0076803,              0.0076803
                     83,                0.95293,                 1.4756,                 2.1482,                0.68435,                0.48064,                0.51718,                0.40759,                 1.0221,                 3.4681,                 2.2824,              0.0076271,              0.0076271,              0.0076271
                     84,                0.96103,                 1.5195,                 2.1616,                0.67799,                0.49499,                0.52741,                0.41711,                 1.0059,                 3.4404,                 2.2706,              0.0075734,              0.0075734,              0.0075734
                     85,                 0.9576,                 1.4717,                 2.1458,                0.65614,                0.49692,                 0.5273,                0.41293,                0.99899,                 3.3836,                 2.2593,              0.0075194,              0.0075194,              0.0075194
                     86,                0.96037,                 1.4854,                 2.1474,                0.67657,                0.48655,                0.52285,                 0.4084,                 1.0027,                 3.3632,                 2.2613,              0.0074649,              0.0074649,              0.0074649
                     87,                 0.9473,                 1.4526,                 2.1328,                0.66924,                0.49183,                0.53021,                0.41579,                 1.0276,                 3.4072,                 2.2983,              0.0074101,              0.0074101,              0.0074101
                     88,                0.94471,                 1.4572,                 2.1288,                0.72114,                 0.4742,                0.51994,                0.40686,                  1.026,                 3.4558,                 2.3046,              0.0073548,              0.0073548,              0.0073548
                     89,                0.93932,                 1.4374,                 2.1427,                0.69726,                0.47611,                0.51944,                0.40996,                  1.012,                 3.3645,                  2.292,              0.0072993,              0.0072993,              0.0072993
                     90,                0.94747,                 1.4612,                 2.1441,                0.71143,                 0.4743,                0.52513,                0.40831,                 1.0118,                  3.397,                  2.287,              0.0072433,              0.0072433,              0.0072433
                     91,                0.93194,                  1.421,                 2.1323,                0.69239,                0.49262,                0.52547,                0.40547,                 1.0152,                 3.4641,                 2.2867,               0.007187,               0.007187,               0.007187
                     92,                 0.9457,                 1.4254,                 2.1523,                0.71822,                0.49029,                0.53015,                0.40952,                 1.0347,                 3.3747,                 2.3334,              0.0071303,              0.0071303,              0.0071303
                     93,                0.92963,                  1.407,                 2.1356,                0.73991,                0.46796,                0.52604,                0.40763,                 1.0118,                 3.4546,                 2.2815,              0.0070733,              0.0070733,              0.0070733
                     94,                 0.9197,                 1.3677,                 2.1096,                0.70611,                0.47795,                0.51502,                0.40566,                 1.0004,                 3.6007,                 2.2735,               0.007016,               0.007016,               0.007016
                     95,                 0.9149,                 1.3784,                 2.1016,                0.68686,                0.49964,                 0.5258,                 0.4138,                 1.0085,                 3.4637,                 2.2943,              0.0069584,              0.0069584,              0.0069584
                     96,                0.91636,                 1.4096,                 2.1189,                0.69319,                0.49876,                0.54021,                0.42463,                0.98729,                 3.3654,                 2.2415,              0.0069004,              0.0069004,              0.0069004
                     97,                  0.923,                 1.3935,                 2.1199,                0.70383,                0.49665,                0.54108,                0.42444,                0.99641,                 3.3091,                 2.2457,              0.0068422,              0.0068422,              0.0068422
                     98,                0.90265,                 1.3687,                 2.1023,                0.70829,                    0.5,                0.53931,                0.42754,                 1.0071,                 3.4607,                 2.2747,              0.0067837,              0.0067837,              0.0067837
                     99,                0.91644,                 1.3702,                 2.1174,                0.71709,                0.48847,                0.53671,                0.42472,                0.98685,                 3.5341,                 2.2433,              0.0067249,              0.0067249,              0.0067249
                    100,                0.90104,                 1.3344,                 2.0931,                 0.7163,                0.48501,                0.53289,                0.41788,                0.99519,                 3.4448,                 2.2565,              0.0066658,              0.0066658,              0.0066658
                    101,                0.90797,                 1.3547,                  2.099,                0.68643,                0.49409,                0.52833,                0.41684,                0.99806,                 3.4558,                 2.2624,              0.0066064,              0.0066064,              0.0066064
